Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
06/D5,B,II,0.755,0.769,0.762
06/D6,B,I+II,0.713,0.79,0.749
06/D6,B,I,0.627,0.724,0.672
06/D6,B,II,0.634,0.717,0.673
06/E1,B,I+II,0.702,0.762,0.731
06/E1,B,I,0.737,0.824,0.778
06/E1,B,II,0.748,0.835,0.789
06/E2,B,I+II,0.741,0.826,0.781
06/E2,B,I,0.659,0.707,0.682
06/E2,B,II,0.736,0.824,0.777
06/E3,B,I+II,0.667,0.682,0.674
06/E3,B,I,0.771,0.75,0.761
06/E3,B,II,0.648,0.714,0.68
06/F1,B,I+II,0.729,0.81,0.768
06/F1,B,I,0.754,0.839,0.794
06/F1,B,II,0.706,0.791,0.746
06/F2,B,I+II,0.875,0.929,0.901
06/F2,B,I,0.844,0.871,0.857
06/F2,B,II,0.884,0.91,0.897
06/F3,B,I+II,0.375,0.29,0.327
06/F3,B,I,0.4,0.333,0.364
06/F3,B,II,0.529,0.36,0.429
06/F4,B,I+II,0.815,0.874,0.844
06/F4,B,I,0.777,0.825,0.8
06/F4,B,II,0.784,0.859,0.82
06/G1,B,I+II,0.769,0.776,0.773
06/G1,B,I,0.737,0.767,0.752
06/G1,B,II,0.748,0.781,0.764
06/H1,B,I+II,0.77,0.829,0.798
06/H1,B,I,0.787,0.841,0.813
06/H1,B,II,0.725,0.795,0.758
06/I1,B,I+II,0.714,0.738,0.726
06/I1,B,I,0.543,0.61,0.575
06/I1,B,II,0.752,0.787,0.769
06/L1,B,I+II,0.83,0.884,0.856
06/L1,B,I,0.852,0.868,0.86
06/L1,B,II,0.792,0.894,0.84
06/M1,B,I+II,0.809,0.875,0.841
06/M1,B,I,0.79,0.826,0.807
06/M1,B,II,0.814,0.886,0.848
06/M2,B,I+II,0.789,0.82,0.804
06/M2,B,I,0.818,0.844,0.831
06/M2,B,II,0.817,0.904,0.858
06/N1,B,I+II,0.835,0.913,0.872
06/N1,B,I,0.864,0.864,0.864
06/N1,B,II,0.827,0.932,0.877
07/A1,B,I+II,0.569,0.603,0.586
07/A1,B,I,0.528,0.576,0.551
07/A1,B,II,0.488,0.571,0.526
07/B1,B,I+II,0.726,0.755,0.74
07/B1,B,I,0.706,0.667,0.686
07/B1,B,II,0.765,0.738,0.752
07/B2,B,I+II,0.694,0.74,0.716
07/B2,B,I,0.556,0.625,0.588
07/B2,B,II,0.667,0.8,0.727
07/C1,B,I+II,0.759,0.808,0.783
07/C1,B,I,0.667,0.609,0.636
07/C1,B,II,0.786,0.8,0.793
07/D1,B,I+II,0.67,0.728,0.698
07/D1,B,I,0.563,0.6,0.581
07/D1,B,II,0.652,0.753,0.699
07/E1,B,I+II,0.658,0.706,0.681
07/E1,B,I,0.744,0.725,0.734
07/E1,B,II,0.634,0.652,0.643
07/F1,B,I+II,0.891,0.907,0.899
07/F1,B,I,0.857,0.889,0.873
07/F1,B,II,0.893,0.926,0.909
07/F2,B,I+II,0.605,0.719,0.657
07/F2,B,I,0.545,0.545,0.545
07/F2,B,II,0.565,0.619,0.591
07/G1,B,I+II,0.727,0.769,0.748
07/G1,B,I,0.565,0.591,0.578
07/G1,B,II,0.705,0.756,0.729
07/H1,B,I+II,0.683,0.667,0.675
07/H1,B,I,0.818,0.643,0.72
07/H1,B,II,0.594,0.679,0.633
07/H2,B,I+II,0.667,0.683,0.675
07/H2,B,I,0.7,0.636,0.667
07/H2,B,II,0.611,0.733,0.667
07/H3,B,I+II,0.533,0.667,0.593
07/H3,B,I,0.429,0.5,0.462
07/H3,B,II,0.48,0.5,0.49
07/H4,B,I+II,0.647,0.688,0.667
07/H4,B,I,0.778,0.875,0.824
07/H4,B,II,0.579,0.688,0.629
07/H5,B,I+II,0.483,0.538,0.509
07/H5,B,I,0.667,0.545,0.6
07/H5,B,II,0.368,0.467,0.412
08/A1,B,I+II,0.781,0.774,0.777
08/A1,B,I,0.78,0.78,0.78
08/A1,B,II,0.771,0.73,0.75
08/A2,B,I+II,0.868,0.868,0.868
08/A2,B,I,0.82,0.911,0.863
08/A2,B,II,0.837,0.821,0.829
08/A3,B,I+II,0.835,0.869,0.851
08/A3,B,I,0.75,0.8,0.774
08/A3,B,II,0.785,0.805,0.795
08/A4,B,I+II,0.747,0.747,0.747
08/A4,B,I,0.778,0.84,0.808
08/A4,B,II,0.695,0.759,0.726
08/B1,B,I+II,0.484,0.417,0.448
08/B1,B,I,0.571,0.571,0.571
08/B1,B,II,0.476,0.455,0.465
08/B2,B,I+II,0.837,0.819,0.828
08/B2,B,I,0.725,0.725,0.725
08/B2,B,II,0.784,0.741,0.762
08/B3,B,I+II,0.784,0.809,0.796
08/B3,B,I,0.73,0.771,0.75
08/B3,B,II,0.793,0.78,0.786
08/C1,NB,I+II,0.839,0.853,0.846
08/C1,NB,I,0.785,0.747,0.765
08/C1,NB,II,0.842,0.883,0.862
08/D1,NB,I+II,0.875,0.9,0.887
08/D1,NB,I,0.873,0.873,0.873
08/D1,NB,II,0.867,0.894,0.88
08/E1,NB,I+II,0.771,0.828,0.799
08/E1,NB,I,0.743,0.722,0.732
08/E1,NB,II,0.755,0.786,0.77
08/E2,NB,I+II,0.785,0.889,0.834
08/E2,NB,I,0.785,0.793,0.789
08/E2,NB,II,0.771,0.861,0.814
08/F1,NB,I+II,0.718,0.786,0.751
08/F1,NB,I,0.712,0.712,0.712
08/F1,NB,II,0.695,0.8,0.744
09/A1,B,I+II,0.692,0.736,0.713
09/A1,B,I,0.706,0.615,0.658
09/A1,B,II,0.688,0.744,0.715
09/A2,B,I+II,0.641,0.651,0.646
09/A2,B,I,0.714,0.714,0.714
09/A2,B,II,0.646,0.738,0.689
09/A3,B,I+II,0.605,0.571,0.588
09/A3,B,I,0.647,0.647,0.647
09/A3,B,II,0.712,0.649,0.679
09/B1,B,I+II,0.769,0.8,0.784
09/B1,B,I,0.6,0.6,0.6
09/B1,B,II,0.6,0.6,0.6
09/B2,B,I+II,0.357,0.313,0.333
09/B2,B,I,0.75,1,0.857
09/B2,B,II,0.5,0.4,0.444
09/B3,B,I+II,0.8,0.813,0.806
09/B3,B,I,0.632,0.632,0.632
09/B3,B,II,0.792,0.844,0.817
09/C1,B,I+II,0.849,0.849,0.849
09/C1,B,I,0.842,0.8,0.821
09/C1,B,II,0.779,0.803,0.791
09/C2,B,I+II,0.768,0.763,0.766
09/C2,B,I,0.648,0.648,0.648
09/C2,B,II,0.744,0.809,0.775
09/D1,B,I+II,0.892,0.94,0.915
09/D1,B,I,0.938,0.919,0.928
09/D1,B,II,0.876,0.919,0.897
09/D2,B,I+II,0.808,0.819,0.814
09/D2,B,I,0.64,0.762,0.696
09/D2,B,II,0.68,0.667,0.673
09/D3,B,I+II,0.741,0.8,0.769
09/D3,B,I,0.591,0.65,0.619
09/D3,B,II,0.8,0.8,0.8
09/E1,B,I+II,0.759,0.75,0.754
09/E1,B,I,0.6,0.621,0.61
09/E1,B,II,0.786,0.8,0.793
09/E2,B,I+II,0.745,0.745,0.745
09/E2,B,I,0.55,0.611,0.579
09/E2,B,II,0.775,0.838,0.805
09/E3,B,I+II,0.829,0.858,0.843
09/E3,B,I,0.909,0.886,0.897
09/E3,B,II,0.762,0.768,0.765
09/E4,B,I+II,0.827,0.851,0.839
09/E4,B,I,0.789,0.811,0.8
09/E4,B,II,0.797,0.859,0.827
09/F1,B,I+II,0.821,0.829,0.825
09/F1,B,I,0.707,0.744,0.725
09/F1,B,II,0.831,0.818,0.824
09/F2,B,I+II,0.823,0.818,0.82
09/F2,B,I,0.758,0.806,0.781
09/F2,B,II,0.832,0.814,0.823
09/G1,B,I+II,0.667,0.711,0.688
09/G1,B,I,0.857,0.6,0.706
09/G1,B,II,0.657,0.657,0.657
09/G2,B,I+II,0.813,0.865,0.839
09/G2,B,I,0.788,0.804,0.796
09/G2,B,II,0.772,0.838,0.804
09/H1,B,I+II,0.774,0.845,0.808
09/H1,B,I,0.78,0.78,0.78
09/H1,B,II,0.754,0.814,0.783
10/A1,NB,I+II,0.67,0.681,0.676
10/A1,NB,I,0.619,0.557,0.586
10/A1,NB,II,0.665,0.697,0.681
10/B1,NB,I+II,0.787,0.882,0.832
10/B1,NB,I,0.787,0.774,0.78
10/B1,NB,II,0.776,0.89,0.829
10/C1,NB,I+II,0.789,0.825,0.807
10/C1,NB,I,0.786,0.825,0.805
10/C1,NB,II,0.794,0.882,0.835
10/D1,NB,I+II,0.748,0.836,0.79
10/D1,NB,I,0.793,0.767,0.78
10/D1,NB,II,0.792,0.853,0.822
10/D2,NB,I+II,0.582,0.624,0.602
10/D2,NB,I,0.619,0.619,0.619
10/D2,NB,II,0.521,0.594,0.555
10/D3,NB,I+II,0.754,0.761,0.758
10/D3,NB,I,0.69,0.667,0.678
10/D3,NB,II,0.714,0.783,0.747
10/D4,NB,I+II,0.627,0.766,0.689
10/D4,NB,I,0.574,0.675,0.621
10/D4,NB,II,0.684,0.788,0.732
10/E1,NB,I+II,0.594,0.663,0.627
10/E1,NB,I,0.571,0.522,0.545
10/E1,NB,II,0.611,0.764,0.679
10/F1,NB,I+II,0.809,0.878,0.842
10/F1,NB,I,0.759,0.811,0.784
10/F1,NB,II,0.811,0.892,0.85
10/F2,NB,I+II,0.763,0.85,0.804
10/F2,NB,I,0.755,0.725,0.74
10/F2,NB,II,0.732,0.81,0.769
10/F3,NB,I+II,0.663,0.677,0.67
10/F3,NB,I,0.872,0.895,0.883
10/F3,NB,II,0.545,0.621,0.581
10/G1,NB,I+II,0.699,0.766,0.731
10/G1,NB,I,0.707,0.707,0.707
10/G1,NB,II,0.71,0.807,0.755
10/H1,NB,I+II,0.564,0.657,0.607
10/H1,NB,I,0.545,0.462,0.5
10/H1,NB,II,0.569,0.611,0.589
10/I1,NB,I+II,0.585,0.658,0.619
10/I1,NB,I,0.611,0.524,0.564
10/I1,NB,II,0.566,0.577,0.571
10/M1,NB,I+II,0.602,0.636,0.618
10/M1,NB,I,0.514,0.5,0.507
10/M1,NB,II,0.59,0.667,0.626
10/M2,NB,I+II,0.658,0.685,0.671
10/M2,NB,I,0.643,0.621,0.632
10/M2,NB,II,0.625,0.682,0.652
10/N1,NB,I+II,0.723,0.807,0.762
10/N1,NB,I,0.785,0.879,0.829
10/N1,NB,II,0.654,0.735,0.692
10/N3,NB,I+II,0.632,0.705,0.667
10/N3,NB,I,0.667,0.667,0.667
10/N3,NB,II,0.56,0.651,0.602
11/A1,NB,I+II,0.756,0.831,0.792
11/A1,NB,I,0.724,0.7,0.712
11/A1,NB,II,0.77,0.777,0.773
11/A2,NB,I+II,0.718,0.799,0.756
11/A2,NB,I,0.712,0.7,0.706
11/A2,NB,II,0.744,0.826,0.783
11/A3,NB,I+II,0.731,0.845,0.784
11/A3,NB,I,0.778,0.737,0.757
11/A3,NB,II,0.71,0.825,0.763
11/A4,NB,I+II,0.816,0.883,0.848
11/A4,NB,I,0.862,0.82,0.84
11/A4,NB,II,0.8,0.887,0.841
11/A5,NB,I+II,0.736,0.832,0.781
11/A5,NB,I,0.697,0.719,0.708
11/A5,NB,II,0.741,0.808,0.773
11/B1,NB,I+II,0.616,0.675,0.644
11/B1,NB,I,0.613,0.576,0.594
11/B1,NB,II,0.584,0.642,0.612
11/C1,NB,I+II,0.7,0.826,0.758
11/C1,NB,I,0.719,0.676,0.697
11/C1,NB,II,0.714,0.866,0.783
11/C2,NB,I+II,0.652,0.778,0.71
11/C2,NB,I,0.731,0.717,0.724
11/C2,NB,II,0.692,0.748,0.719
11/C3,NB,I+II,0.725,0.763,0.743
11/C3,NB,I,0.808,0.737,0.771
11/C3,NB,II,0.681,0.766,0.721
11/C4,NB,I+II,0.72,0.799,0.757
