Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
10/D4,NB,I,0.600,0.675,0.635
09/E2,B,I,0.600,0.667,0.632
13/D4,NB,I,0.629,0.629,0.629
07/B2,B,I,0.593,0.667,0.627
09/A3,B,I,0.636,0.618,0.627
07/D1,B,I,0.588,0.667,0.625
09/D2,B,I,0.583,0.667,0.622
05/A2,B,I,0.542,0.722,0.619
10/A1,NB,I,0.636,0.600,0.618
13/B4,NB,I,0.610,0.625,0.617
12/F1,NB,I,0.667,0.571,0.615
01/A6,B,I,0.706,0.545,0.615
06/D2,B,I,0.551,0.692,0.614
05/C1,B,I,0.556,0.682,0.612
10/N3,NB,I,0.611,0.611,0.611
01/A3,B,I,0.662,0.566,0.610
06/I1,B,I,0.549,0.683,0.609
12/C2,NB,I,0.583,0.636,0.609
01/A2,B,I,0.578,0.640,0.608
09/A1,B,I,0.647,0.564,0.603
09/B1,B,I,0.600,0.600,0.600
12/H1,NB,I,0.600,0.600,0.600
12/H3,NB,I,0.625,0.556,0.588
09/D3,B,I,0.571,0.600,0.585
10/D2,NB,I,0.600,0.571,0.585
13/B5,NB,I,0.700,0.500,0.583
11/B1,NB,I,0.621,0.545,0.581
06/A1,B,I,0.529,0.643,0.581
10/L1,NB,I,0.601,0.561,0.580
07/F2,B,I,0.600,0.545,0.571
13/A2,NB,I,0.573,0.554,0.564
09/B3,B,I,0.550,0.579,0.564
02/B2,B,I,0.581,0.543,0.562
10/E1,NB,I,0.542,0.565,0.553
07/G1,B,I,0.520,0.591,0.553
10/I1,NB,I,0.579,0.524,0.550
06/C1,B,I,0.533,0.563,0.547
07/A1,B,I,0.545,0.545,0.545
02/B1,B,I,0.528,0.543,0.535
13/A3,NB,I,0.528,0.528,0.528
07/C1,B,I,0.550,0.478,0.512
14/B2,NB,I,0.500,0.476,0.488
10/H1,NB,I,0.438,0.538,0.483
08/B1,B,I,0.467,0.500,0.483
14/B1,NB,I,0.500,0.467,0.483
10/M1,NB,I,0.486,0.474,0.480
03/B2,B,I,0.462,0.462,0.462
13/A5,NB,I,0.467,0.412,0.437
02/A1,B,I,0.414,0.438,0.426
06/D4,B,I,0.436,0.395,0.415
02/A2,B,I,0.449,0.319,0.373
03/B1,B,I,0.348,0.333,0.340
07/H3,B,I,0.308,0.333,0.320
05/F1,B,I,0.294,0.152,0.200
06/F3,B,I,0.200,0.167,0.182
07/F1,B,II,0.905,0.938,0.921
11/E4,B,II,0.888,0.925,0.906
09/D1,B,II,0.876,0.935,0.904
14/C2,NB,II,0.889,0.917,0.903
14/C1,NB,II,0.873,0.912,0.892
12/D2,NB,II,0.884,0.897,0.891
08/D1,NB,II,0.872,0.906,0.889
06/F2,B,II,0.882,0.896,0.889
05/I1,B,II,0.862,0.911,0.886
11/D2,NB,II,0.892,0.874,0.883
11/D1,NB,II,0.847,0.901,0.873
06/N1,B,II,0.822,0.929,0.872
05/G1,B,II,0.846,0.889,0.867
11/E2,B,II,0.862,0.868,0.865
05/H2,B,II,0.828,0.906,0.865
06/M1,B,II,0.812,0.883,0.846
10/F1,NB,II,0.803,0.889,0.844
06/A2,B,II,0.797,0.894,0.843
02/B3,B,II,0.805,0.885,0.843
06/L1,B,II,0.806,0.882,0.843
10/D1,NB,II,0.815,0.871,0.842
08/C1,NB,II,0.836,0.843,0.839
11/A4,NB,II,0.792,0.891,0.838
14/D1,NB,II,0.821,0.853,0.837
09/F1,B,II,0.824,0.848,0.836
12/E1,NB,II,0.815,0.856,0.835
04/A4,B,II,0.790,0.883,0.834
13/D3,NB,II,0.779,0.896,0.833
09/G2,B,II,0.798,0.867,0.831
10/C1,NB,II,0.788,0.878,0.831
09/E4,B,II,0.818,0.844,0.831
10/B1,NB,II,0.774,0.883,0.825
05/B1,B,II,0.786,0.867,0.824
06/B1,B,II,0.804,0.845,0.824
09/B3,B,II,0.780,0.867,0.821
12/B1,NB,II,0.790,0.852,0.820
12/D1,NB,II,0.797,0.845,0.820
08/A2,B,II,0.827,0.811,0.819
06/A3,B,II,0.821,0.815,0.818
08/E2,NB,II,0.770,0.867,0.816
11/E3,B,II,0.812,0.819,0.815
09/F2,B,II,0.794,0.835,0.814
06/F4,B,II,0.778,0.853,0.813
13/B3,NB,II,0.787,0.841,0.813
13/B2,NB,II,0.796,0.818,0.807
06/M2,B,II,0.779,0.833,0.805
12/C1,NB,II,0.796,0.807,0.801
05/E1,B,II,0.752,0.854,0.800
11/C5,NB,II,0.723,0.886,0.796
12/F1,NB,II,0.776,0.809,0.792
05/A1,B,II,0.750,0.837,0.791
12/A1,NB,II,0.776,0.807,0.791
11/A5,NB,II,0.737,0.848,0.789
11/A1,NB,II,0.769,0.804,0.786
11/A2,NB,II,0.741,0.833,0.784
05/E2,B,II,0.715,0.866,0.783
11/C1,NB,II,0.714,0.866,0.783
07/B1,B,II,0.756,0.810,0.782
09/D3,B,II,0.793,0.767,0.780
09/C2,B,II,0.736,0.826,0.779
08/A3,B,II,0.779,0.779,0.779
03/D1,B,II,0.775,0.781,0.778
09/H1,B,II,0.739,0.814,0.775
07/C1,B,II,0.768,0.782,0.775
14/B1,NB,II,0.729,0.825,0.774
06/D1,B,II,0.730,0.819,0.772
08/E1,NB,II,0.738,0.806,0.771
10/D3,NB,II,0.736,0.807,0.770
10/F2,NB,II,0.715,0.831,0.769
13/D1,NB,II,0.746,0.791,0.768
01/A5,B,II,0.782,0.754,0.768
05/B2,B,II,0.742,0.794,0.767
11/A3,NB,II,0.706,0.837,0.766
08/B3,B,II,0.786,0.746,0.765
02/C1,B,II,0.692,0.849,0.763
14/A2,NB,II,0.763,0.763,0.763
09/E1,B,II,0.741,0.782,0.761
06/E2,B,II,0.719,0.806,0.760
13/B5,NB,II,0.731,0.792,0.760
06/A1,B,II,0.710,0.817,0.760
10/G1,NB,II,0.715,0.807,0.759
09/E2,B,II,0.714,0.811,0.759
05/D1,B,II,0.725,0.794,0.758
12/G1,NB,II,0.747,0.767,0.757
09/E3,B,II,0.758,0.752,0.755
05/C1,B,II,0.704,0.807,0.752
05/A2,B,II,0.711,0.794,0.750
04/A3,B,II,0.688,0.818,0.747
09/C1,B,II,0.735,0.758,0.746
06/E1,B,II,0.709,0.785,0.745
08/B2,B,II,0.792,0.704,0.745
13/A4,NB,II,0.705,0.782,0.741
06/C1,B,II,0.677,0.816,0.740
11/C4,NB,II,0.697,0.786,0.739
01/B1,B,II,0.702,0.781,0.739
11/C2,NB,II,0.701,0.780,0.738
12/E2,NB,II,0.709,0.769,0.738
01/A4,B,II,0.683,0.800,0.737
06/D2,B,II,0.713,0.763,0.737
05/H1,B,II,0.680,0.798,0.735
12/G2,NB,II,0.733,0.733,0.733
06/G1,B,II,0.700,0.766,0.732
06/H1,B,II,0.687,0.781,0.731
07/G1,B,II,0.718,0.744,0.731
14/A1,NB,II,0.662,0.814,0.730
12/E3,NB,II,0.667,0.800,0.727
08/F1,NB,II,0.672,0.782,0.723
06/D3,B,II,0.707,0.739,0.722
08/A1,B,II,0.726,0.716,0.721
13/A1,NB,II,0.691,0.751,0.720
03/B1,B,II,0.702,0.728,0.715
03/A1,B,II,0.678,0.755,0.714
11/C3,NB,II,0.646,0.796,0.713
09/D2,B,II,0.720,0.706,0.713
07/B2,B,II,0.660,0.775,0.713
06/F1,B,II,0.680,0.747,0.712
10/D4,NB,II,0.667,0.763,0.711
13/D2,NB,II,0.693,0.722,0.707
12/C2,NB,II,0.720,0.692,0.706
08/A4,B,II,0.684,0.722,0.703
13/B1,NB,II,0.669,0.738,0.702
07/D1,B,II,0.641,0.766,0.698
12/H3,NB,II,0.692,0.701,0.697
10/N1,NB,II,0.656,0.743,0.697
06/D6,B,II,0.649,0.747,0.695
09/A1,B,II,0.667,0.721,0.693
12/B2,NB,II,0.706,0.679,0.692
13/A3,NB,II,0.671,0.708,0.689
04/A2,B,II,0.628,0.761,0.688
03/A2,B,II,0.650,0.714,0.680
10/E1,NB,II,0.604,0.764,0.675
01/A3,B,II,0.688,0.660,0.674
10/A1,NB,II,0.640,0.693,0.665
07/E1,B,II,0.632,0.696,0.662
03/D2,B,II,0.656,0.656,0.656
09/A2,B,II,0.636,0.667,0.651
06/I1,B,II,0.612,0.685,0.646
03/C1,B,II,0.642,0.648,0.645
03/C2,B,II,0.622,0.667,0.644
04/A1,B,II,0.632,0.649,0.640
09/G1,B,II,0.622,0.657,0.639
10/M1,NB,II,0.595,0.681,0.635
13/D4,NB,II,0.627,0.644,0.635
06/D4,B,II,0.615,0.650,0.632
06/A4,B,II,0.596,0.667,0.630
10/M2,NB,II,0.622,0.636,0.629
11/E1,B,II,0.590,0.667,0.626
07/H4,B,II,0.625,0.625,0.625
13/B4,NB,II,0.606,0.642,0.623
13/C1,NB,II,0.577,0.672,0.621
02/B2,B,II,0.613,0.613,0.613
09/A3,B,II,0.618,0.596,0.607
10/H1,NB,II,0.554,0.667,0.605
11/B1,NB,II,0.559,0.642,0.598
10/I1,NB,II,0.596,0.596,0.596
07/H2,B,II,0.581,0.600,0.590
10/L1,NB,II,0.608,0.569,0.588
01/A2,B,II,0.573,0.596,0.584
10/F3,NB,II,0.529,0.638,0.578
06/D5,B,II,0.542,0.615,0.577
10/N3,NB,II,0.542,0.605,0.571
07/F2,B,II,0.545,0.571,0.558
07/A1,B,II,0.512,0.600,0.553
14/B2,NB,II,0.486,0.632,0.550
13/A5,NB,II,0.526,0.556,0.541
07/H1,B,II,0.536,0.536,0.536
09/B1,B,II,0.533,0.533,0.533
13/A2,NB,II,0.558,0.508,0.532
01/A1,B,II,0.521,0.543,0.532
06/E3,B,II,0.532,0.510,0.521
02/B1,B,II,0.558,0.481,0.516
07/H3,B,II,0.522,0.500,0.511
01/A6,B,II,0.520,0.481,0.500
10/D2,NB,II,0.459,0.531,0.493
12/H2,NB,II,0.500,0.478,0.489
05/F1,B,II,0.670,0.362,0.470
03/B2,B,II,0.528,0.396,0.452
08/B1,B,II,0.429,0.409,0.419
06/F3,B,II,0.500,0.360,0.419
07/H5,B,II,0.278,0.333,0.303
12/H1,NB,II,0.273,0.273,0.273
09/B2,B,II,0.286,0.200,0.235
02/A2,B,II,0.375,0.167,0.231
02/A1,B,II,0.167,0.029,0.049
