Area,Precision,Recall,F-Measure
01,0.692,0.753,0.721
02,0.629,0.635,0.632
03,0.700,0.681,0.690
04,0.694,0.800,0.743
05,0.705,0.839,0.766
06,0.736,0.855,0.791
07,0.686,0.709,0.697
08,0.768,0.794,0.781
08-NB,0.810,0.850,0.829
09,0.777,0.854,0.814
10,0.698,0.834,0.760
11,0.731,0.863,0.792
11/E,0.769,0.872,0.817
12,0.779,0.820,0.799
13,0.685,0.736,0.710
14,0.775,0.877,0.823
