@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
5,0.714286,13,90,6.923077,0.384615,7,F,No
5,0.625,11,39,3.545455,0.454545,8,M,No
4,0.25,79,1418,17.949367,0.050633,16,M,No
19,0.76,27,921,34.111111,0.703704,25,M,No
5,0.714286,12,94,7.833333,0.416667,7,M,No
10,1.111111,14,75,5.357143,0.714286,9,F,No
2,?,27,2,0.074074,0.074074,?,M,No
13,1.3,23,230,10,0.565217,10,M,No
5,0.555556,13,123,9.461538,0.384615,9,M,No
22,1.833333,42,491,11.690476,0.52381,12,M,No
9,1,15,179,11.933333,0.6,9,M,No
18,1.2,39,665,17.051282,0.461538,15,M,No
13,1.083333,31,283,9.129032,0.419355,12,M,No
5,0.833333,13,62,4.769231,0.384615,6,M,No
5,0.384615,17,303,17.823529,0.294118,13,M,No
9,1.285714,25,221,8.84,0.36,7,M,No
7,0.875,17,186,10.941176,0.411765,8,F,No
17,0.85,50,1137,22.74,0.34,20,M,No
8,1.6,9,60,6.666667,0.888889,5,F,No
5,0.833333,13,62,4.769231,0.384615,6,M,No
9,0.3,76,3075,40.460526,0.118421,30,F,No
18,1.384615,48,921,19.1875,0.375,13,F,No
7,1.166667,16,147,9.1875,0.4375,6,M,No
4,1,10,16,1.6,0.4,4,F,No
15,0.789474,90,2226,24.733333,0.166667,19,M,No
12,0.857143,24,458,19.083333,0.5,14,M,No
7,?,28,7,0.25,0.25,?,M,No
5,2.5,11,24,2.181818,0.454545,2,M,No
16,1.230769,36,569,15.805556,0.444444,13,F,No
16,1.6,34,424,12.470588,0.470588,10,F,No
7,0.777778,17,267,15.705882,0.411765,9,M,No
9,0.5625,18,453,25.166667,0.5,16,M,No
6,1.2,10,49,4.9,0.6,5,M,No
15,2.142857,20,184,9.2,0.75,7,M,No
7,0.21875,17,816,48,0.411765,32,F,No
4,?,20,44,2.2,0.2,?,M,No
13,4.333333,14,68,4.857143,0.928571,3,M,No
10,2.5,37,96,2.594595,0.27027,4,F,No
9,1,12,91,7.583333,0.75,9,F,No
14,3.5,50,254,5.08,0.28,4,M,No
4,0.266667,10,224,22.4,0.4,15,M,No
3,?,23,26,1.130435,0.130435,?,F,No
11,1.375,24,248,10.333333,0.458333,8,M,No
62,2.952381,83,1823,21.963855,0.746988,21,M,No
9,1.285714,33,190,5.757576,0.272727,7,M,No
9,3,22,54,2.454545,0.409091,3,M,No
15,0.789474,53,1444,27.245283,0.283019,19,F,No
6,0.6,20,208,10.4,0.3,10,F,No
7,0.35,20,579,28.95,0.35,20,M,No
5,1,7,23,3.285714,0.714286,5,M,No
11,1.571429,23,72,3.130435,0.478261,7,M,No
5,?,40,85,2.125,0.125,?,M,No
10,0.588235,23,340,14.782609,0.434783,17,M,No
7,0.538462,25,378,15.12,0.28,13,F,No
8,0.470588,27,636,23.555556,0.296296,17,M,No
8,0.615385,11,218,19.818182,0.727273,13,M,No
23,2.555556,41,555,13.536585,0.560976,9,F,No
5,0.454545,58,364,6.275862,0.086207,11,F,No
7,1.75,16,96,6,0.4375,4,F,No
6,0.461538,33,337,10.212121,0.181818,13,F,No
4,?,23,50,2.173913,0.173913,?,M,No
1,?,4,1,0.25,0.25,?,M,No
10,0.769231,18,208,11.555556,0.555556,13,M,No
14,2.333333,19,104,5.473684,0.736842,6,F,No
1,0.2,8,70,8.75,0.125,5,F,No
14,?,15,74,4.933333,0.933333,?,M,No
4,1,6,22,3.666667,0.666667,4,M,No
3,0.428571,12,109,9.083333,0.25,7,M,No
11,?,23,103,4.478261,0.478261,?,M,No
2,0.5,15,109,7.266667,0.133333,4,F,No
7,1.75,7,28,4,1,4,M,No
13,1.3,18,285,15.833333,0.722222,10,M,No
13,1.181818,15,150,10,0.866667,11,M,No
4,2,23,13,0.565217,0.173913,2,M,No
12,3,16,84,5.25,0.75,4,F,No
2,0.4,5,35,7,0.4,5,M,No
17,1.7,33,396,12,0.515152,10,M,No
20,0.689655,36,1246,34.611111,0.555556,29,M,No
15,7.5,27,2,0.074074,0.555556,2,F,No
10,1.111111,10,99,9.9,1,9,M,No
6,?,12,66,5.5,0.5,?,F,No
8,0.727273,9,116,12.888889,0.888889,11,M,No
7,3.5,10,12,1.2,0.7,2,M,No
10,1.428571,13,86,6.615385,0.769231,7,M,No
8,1.6,11,60,5.454545,0.727273,5,M,No
10,2.5,10,31,3.1,1,4,F,No
15,2.142857,38,289,7.605263,0.394737,7,M,No
10,0.555556,25,308,12.32,0.4,18,F,Si
2,0.222222,8,80,10,0.25,9,F,Si
16,1.6,37,616,16.648649,0.432432,10,M,Si
3,0.214286,21,420,20,0.142857,14,M,Si
9,0.9,18,271,15.055556,0.5,10,M,Si
10,?,15,55,3.666667,0.666667,?,M,Si
6,0.857143,41,141,3.439024,0.146341,7,M,Si
10,1.111111,30,332,11.066667,0.333333,9,M,Si
6,0.375,13,334,25.692308,0.461538,16,F,Si
3,?,6,21,3.5,0.5,?,M,Si
1,0.166667,19,123,6.473684,0.052632,6,M,Si
1,0.25,6,17,2.833333,0.166667,4,F,Si
1,0.5,4,12,3,0.25,2,M,Si
1,0.142857,10,132,13.2,0.1,7,M,Si
6,0.6,21,304,14.47619,0.285714,10,F,Si
