@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod'

@attribute y numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
24,0.8,36,1157,32.138889,0.666667,30,F,Si
10,0.714286,28,526,18.785714,0.357143,14,M,Si
15,1.5,49,588,12,0.306122,10,M,Si
10,1.25,14,193,13.785714,0.714286,8,M,Si
8,0.615385,12,252,21,0.666667,13,F,Si
10,?,21,73,3.47619,0.47619,?,M,Si
20,1.111111,40,953,23.825,0.5,18,F,Si
22,5.5,48,148,3.083333,0.458333,4,M,Si
11,?,37,196,5.297297,0.297297,?,M,Si
11,1.375,45,553,12.288889,0.244444,8,F,Si
12,?,33,177,5.363636,0.363636,?,F,Si
18,6,44,91,2.068182,0.409091,3,M,Si
10,1.111111,63,611,9.698413,0.15873,9,F,Si
9,0.9,46,594,12.913043,0.195652,10,M,Si
12,?,19,88,4.631579,0.631579,?,F,Si
14,2.333333,21,191,9.095238,0.666667,6,F,Si
17,1.7,72,1147,15.930556,0.236111,10,F,Si
11,1.833333,25,189,7.56,0.44,6,F,Si
11,2.75,13,30,2.307692,0.846154,4,M,Si
12,1,28,348,12.428571,0.428571,12,F,Si
14,1.4,24,163,6.791667,0.583333,10,M,Si
13,1.444444,30,199,6.633333,0.433333,9,M,Si
13,0.722222,19,326,17.157895,0.684211,18,F,Si
20,1.428571,35,576,16.457143,0.571429,14,M,No
20,2.5,41,284,6.926829,0.487805,8,F,No
22,3.666667,30,176,5.866667,0.733333,6,F,No
20,1.818182,20,125,6.25,1,11,F,No
18,3,25,164,6.56,0.72,6,F,No
24,3,33,284,8.606061,0.727273,8,F,No
16,1.6,26,223,8.576923,0.615385,10,F,No
20,1.428571,26,422,16.230769,0.769231,14,M,No
17,1.545455,44,427,9.704545,0.386364,11,F,No
14,1.555556,16,161,10.0625,0.875,9,M,No
23,3.285714,47,315,6.702128,0.489362,7,M,No
19,1,21,451,21.47619,0.904762,19,F,No
16,2,38,278,7.315789,0.421053,8,F,No
18,2.25,22,186,8.454545,0.818182,8,M,No
11,1.222222,11,149,13.545455,1,9,M,No
17,2.428571,71,433,6.098592,0.239437,7,M,No
13,1.625,14,90,6.428571,0.928571,8,F,No
13,2.6,13,49,3.769231,1,5,F,No
18,2.25,23,186,8.086957,0.782609,8,M,No
19,2.111111,43,577,13.418605,0.44186,9,M,No
12,1.090909,12,161,13.416667,1,11,F,No
