@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod'

@attribute y numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
24,2.666667,24,174,7.25,1,9,M,Si
8,?,43,137,3.186047,0.186047,?,F,Si
23,1.210526,28,723,25.821429,0.821429,19,F,Si
10,?,48,250,5.208333,0.208333,?,M,Si
10,1,42,514,12.238095,0.238095,10,M,Si
12,1.714286,12,84,7,1,7,M,Si
32,4.571429,42,259,6.166667,0.761905,7,M,Si
20,2.222222,24,208,8.666667,0.833333,9,M,Si
13,2.6,16,78,4.875,0.8125,5,M,Si
17,1.7,25,465,18.6,0.68,10,F,Si
18,1.384615,58,954,16.448276,0.310345,13,F,Si
12,1.2,31,453,14.612903,0.387097,10,F,Si
27,1.8,43,794,18.465116,0.627907,15,F,Si
23,1.642857,24,300,12.5,0.958333,14,M,Si
18,1.636364,39,532,13.641026,0.461538,11,M,Si
9,1.8,27,150,5.555556,0.333333,5,F,Si
20,4,42,273,6.5,0.47619,5,M,Si
23,5.75,36,112,3.111111,0.638889,4,M,Si
23,2.3,23,306,13.304348,1,10,M,Si
34,2.266667,36,487,13.527778,0.944444,15,M,Si
13,1.3,36,442,12.277778,0.361111,10,F,Si
24,1.090909,27,846,31.333333,0.888889,22,M,Si
13,1.625,66,519,7.863636,0.19697,8,M,Si
18,3,26,88,3.384615,0.692308,6,F,Si
16,1.6,23,295,12.826087,0.695652,10,M,Si
13,1.083333,15,218,14.533333,0.866667,12,M,Si
42,2.210526,46,1292,28.086957,0.913043,19,F,Si
16,1.777778,39,429,11,0.410256,9,F,Si
11,1.1,13,106,8.153846,0.846154,10,F,Si
17,1.7,22,291,13.227273,0.772727,10,F,Si
11,3.666667,46,18,0.391304,0.23913,3,M,Si
18,9,37,20,0.540541,0.486486,2,M,Si
13,1.857143,19,164,8.631579,0.684211,7,M,Si
25,1.5625,44,1088,24.727273,0.568182,16,F,Si
14,0.777778,15,418,27.866667,0.933333,18,M,Si
28,1.866667,36,528,14.666667,0.777778,15,M,Si
22,2.2,28,441,15.75,0.785714,10,M,Si
13,2.166667,32,230,7.1875,0.40625,6,M,Si
12,0.75,68,1274,18.735294,0.176471,16,M,Si
21,5.25,47,121,2.574468,0.446809,4,F,Si
15,3.75,52,290,5.576923,0.288462,4,F,Si
19,1.727273,59,906,15.355932,0.322034,11,M,Si
19,1.9,29,413,14.241379,0.655172,10,M,Si
24,0.8,36,1157,32.138889,0.666667,30,F,Si
17,1.545455,80,1451,18.1375,0.2125,11,M,Si
81,3.521739,134,3594,26.820896,0.604478,23,M,Si
36,1.714286,37,1086,29.351351,0.972973,21,F,Si
9,1.8,21,89,4.238095,0.428571,5,F,Si
13,1.181818,50,733,14.66,0.26,11,F,Si
15,1.875,47,342,7.276596,0.319149,8,M,Si
18,1.636364,30,384,12.8,0.6,11,M,Si
23,3.833333,26,66,2.538462,0.884615,6,M,Si
18,2.25,20,170,8.5,0.9,8,F,Si
9,?,24,57,2.375,0.375,?,M,Si
14,1.272727,15,225,15,0.933333,11,F,Si
14,1.272727,15,276,18.4,0.933333,11,M,Si
15,5,25,128,5.12,0.6,3,M,Si
21,3.5,24,150,6.25,0.875,6,M,Si
16,1.6,18,78,4.333333,0.888889,10,F,Si
23,2.090909,23,287,12.478261,1,11,M,Si
24,4,32,54,1.6875,0.75,6,F,Si
12,1.5,31,217,7,0.387097,8,M,Si
10,0.714286,28,526,18.785714,0.357143,14,M,Si
13,1.083333,14,202,14.428571,0.928571,12,M,Si
10,0.714286,32,521,16.28125,0.3125,14,F,Si
20,1.666667,35,537,15.342857,0.571429,12,M,Si
13,2.166667,16,72,4.5,0.8125,6,F,Si
23,1.916667,31,502,16.193548,0.741935,12,F,Si
16,3.2,26,124,4.769231,0.615385,5,M,Si
18,2,42,569,13.547619,0.428571,9,M,Si
16,1.066667,64,885,13.828125,0.25,15,M,Si
12,1.2,12,172,14.333333,1,10,M,Si
18,1.2,43,668,15.534884,0.418605,15,M,Si
10,0.833333,64,849,13.265625,0.15625,12,F,Si
20,2.5,71,363,5.112676,0.28169,8,F,Si
18,4.5,18,26,1.444444,1,4,M,Si
18,1.8,28,334,11.928571,0.642857,10,M,Si
12,0.705882,21,475,22.619048,0.571429,17,F,Si
11,1.571429,11,88,8,1,7,M,Si
11,1.375,45,553,12.288889,0.244444,8,F,Si
28,1.866667,33,483,14.636364,0.848485,15,F,Si
29,2.9,32,320,10,0.90625,10,M,Si
23,2.3,32,490,15.3125,0.71875,10,F,Si
29,2.9,32,515,16.09375,0.90625,10,F,Si
28,3.111111,36,305,8.472222,0.777778,9,M,Si
8,?,22,30,1.363636,0.363636,?,F,Si
21,2.333333,36,445,12.361111,0.583333,9,M,Si
20,2.5,60,780,13,0.333333,8,M,Si
18,1.8,64,739,11.546875,0.28125,10,M,Si
13,1.181818,14,180,12.857143,0.928571,11,F,Si
14,1.272727,18,235,13.055556,0.777778,11,F,Si
16,1.230769,145,2333,16.089655,0.110345,13,M,Si
21,3.5,40,252,6.3,0.525,6,F,Si
18,1.636364,19,297,15.631579,0.947368,11,M,Si
18,1.636364,19,239,12.578947,0.947368,11,M,Si
10,?,18,82,4.555556,0.555556,?,M,Si
9,?,26,61,2.346154,0.346154,?,M,Si
10,?,34,146,4.294118,0.294118,?,F,Si
49,3.769231,59,870,14.745763,0.830508,13,M,Si
8,?,32,104,3.25,0.25,?,F,Si
18,2.25,34,360,10.588235,0.529412,8,M,Si
10,1.428571,15,157,10.466667,0.666667,7,F,Si
10,1.428571,35,257,7.342857,0.285714,7,M,Si
24,2.4,30,406,13.533333,0.8,10,M,Si
17,1.133333,81,1413,17.444444,0.209877,15,F,Si
20,2.222222,30,389,12.966667,0.666667,9,M,Si
8,?,29,95,3.275862,0.275862,?,F,Si
22,2.444444,47,750,15.957447,0.468085,9,M,Si
28,5.6,38,240,6.315789,0.736842,5,M,Si
28,5.6,38,164,4.315789,0.736842,5,F,Si
12,?,18,48,2.666667,0.666667,?,F,Si
13,1.625,34,373,10.970588,0.382353,8,F,Si
10,0.769231,46,657,14.282609,0.217391,13,F,Si
19,1.583333,50,532,10.64,0.38,12,M,Si
11,1.222222,89,800,8.988764,0.123596,9,M,Si
15,1.153846,22,199,9.045455,0.681818,13,M,Si
12,0.857143,42,803,19.119048,0.285714,14,M,Si
12,1.714286,12,58,4.833333,1,7,M,Si
10,1.111111,52,390,7.5,0.192308,9,F,Si
12,?,22,12,0.545455,0.545455,?,F,Si
13,1.857143,17,116,6.823529,0.764706,7,M,Si
20,1.666667,20,278,13.9,1,12,F,Si
19,4.75,54,179,3.314815,0.351852,4,M,Si
23,1.916667,36,546,15.166667,0.638889,12,M,Si
11,1.222222,12,148,12.333333,0.916667,9,F,Si
12,1.333333,40,164,4.1,0.3,9,F,Si
12,0.705882,44,904,20.545455,0.272727,17,M,Si
17,2.428571,32,208,6.5,0.53125,7,F,Si
18,2.571429,54,547,10.12963,0.333333,7,M,Si
20,3.333333,52,352,6.769231,0.384615,6,M,Si
24,2.666667,62,677,10.919355,0.387097,9,M,Si
5,?,24,77,3.208333,0.208333,?,M,Si
24,1.846154,27,507,18.777778,0.888889,13,F,Si
21,2.333333,32,293,9.15625,0.65625,9,F,Si
11,0.846154,43,667,15.511628,0.255814,13,F,Si
15,2.142857,52,437,8.403846,0.288462,7,M,Si
13,2.166667,38,208,5.473684,0.342105,6,M,Si
10,3.333333,24,59,2.458333,0.416667,3,F,Si
16,1.6,20,204,10.2,0.8,10,M,Si
20,1.428571,49,759,15.489796,0.408163,14,M,Si
13,1.444444,24,371,15.458333,0.541667,9,F,Si
10,2,11,44,4,0.909091,5,F,Si
12,1.5,12,144,12,1,8,F,Si
21,2.1,25,165,6.6,0.84,10,M,Si
15,1.5,49,588,12,0.306122,10,M,Si
10,1.428571,38,424,11.157895,0.263158,7,F,Si
20,2.857143,31,206,6.645161,0.645161,7,M,Si
19,2.375,25,198,7.92,0.76,8,F,Si
18,1.5,50,795,15.9,0.36,12,M,Si
11,?,37,196,5.297297,0.297297,?,M,Si
14,0.823529,44,765,17.386364,0.318182,17,M,Si
24,2.181818,26,358,13.769231,0.923077,11,M,Si
20,2.857143,82,944,11.512195,0.243902,7,M,Si
27,2.7,106,1101,10.386792,0.254717,10,F,Si
13,1.857143,57,593,10.403509,0.22807,7,M,Si
15,1.875,19,188,9.894737,0.789474,8,M,Si
13,1.181818,20,232,11.6,0.65,11,M,Si
53,2.789474,75,1700,22.666667,0.706667,19,M,Si
15,1.363636,55,406,7.381818,0.272727,11,M,Si
18,2.25,78,1031,13.217949,0.230769,8,F,Si
23,1.769231,32,552,17.25,0.71875,13,F,Si
13,2.6,23,92,4,0.565217,5,M,Si
11,1.222222,66,559,8.469697,0.166667,9,M,Si
13,1.625,31,302,9.741935,0.419355,8,M,Si
13,2.166667,35,315,9,0.371429,6,M,Si
16,1.6,21,190,9.047619,0.761905,10,F,Si
17,1.888889,31,353,11.387097,0.548387,9,F,Si
24,2.666667,30,285,9.5,0.8,9,F,Si
14,0.933333,50,985,19.7,0.28,15,M,Si
12,0.923077,67,1079,16.104478,0.179104,13,F,Si
13,?,38,89,2.342105,0.342105,?,M,Si
