@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
9,4.5,18,20,1.111111,0.5,2,M,Si
5,0.625,7,58,8.285714,0.714286,8,M,Si
10,1.25,21,105,5,0.47619,8,M,Si
2,0.333333,12,108,9,0.166667,6,M,Si
2,0.333333,12,48,4,0.166667,6,F,Si
4,0.333333,23,372,16.173913,0.173913,12,F,Si
9,0.9,18,271,15.055556,0.5,10,M,Si
7,1.4,9,33,3.666667,0.777778,5,M,Si
22,1.833333,43,571,13.27907,0.511628,12,F,Si
20,1.666667,39,743,19.051282,0.512821,12,F,Si
3,0.5,12,64,5.333333,0.25,6,M,Si
20,1.666667,40,645,16.125,0.5,12,M,Si
10,0.555556,46,1157,25.152174,0.217391,18,F,Si
6,0.545455,23,243,10.565217,0.26087,11,F,Si
6,0.545455,23,213,9.26087,0.26087,11,M,Si
5,0.357143,13,180,13.846154,0.384615,14,F,Si
7,0.466667,31,597,19.258065,0.225806,15,M,Si
7,0.466667,31,742,23.935484,0.225806,15,F,Si
2,0.2,19,165,8.684211,0.105263,10,M,Si
2,0.2,19,182,9.578947,0.105263,10,F,Si
9,0.75,31,399,12.870968,0.290323,12,M,Si
2,0.4,5,22,4.4,0.4,5,M,Si
2,0.4,5,35,7,0.4,5,F,Si
3,0.333333,14,152,10.857143,0.214286,9,M,Si
3,0.333333,14,114,8.142857,0.214286,9,M,Si
1,0.166667,11,44,4,0.090909,6,M,Si
2,0.2,10,111,11.1,0.2,10,M,Si
6,0.666667,24,219,9.125,0.25,9,F,Si
1,0.2,8,40,5,0.125,5,M,Si
6,0.75,24,203,8.458333,0.25,8,M,Si
11,1,15,235,15.666667,0.733333,11,M,Si
2,0.5,18,40,2.222222,0.111111,4,F,Si
12,1.5,17,167,9.823529,0.705882,8,M,Si
22,2.444444,30,179,5.966667,0.733333,9,M,Si
