settore05-E2	I+II	0,712	0,848	0,774
settore05-E2	I	0,693	0,769	0,729
settore05-E2	II	0,723	0,853	0,783
settore05-I1	I+II	0,888	0,921	0,904
settore05-I1	I	0,870	0,884	0,877
settore05-I1	II	0,883	0,920	0,901
settore09-G1	I+II	0,667	0,711	0,688
settore09-G1	I	0,857	0,600	0,706
settore09-G1	II	0,657	0,657	0,657
settore02-B1	I+II	0,600	0,552	0,575
settore02-B1	I	0,554	0,514	0,533
settore02-B1	II	0,602	0,588	0,595
settore08-A2	I+II	0,868	0,868	0,868
settore08-A2	I	0,820	0,911	0,863
settore08-A2	II	0,837	0,821	0,829
settore04-A3	I+II	0,766	0,818	0,791
settore04-A3	I	0,761	0,795	0,778
settore04-A3	II	0,705	0,833	0,764
settore01-A5	I+II	0,800	0,790	0,795
settore01-A5	I	0,739	0,708	0,723
settore01-A5	II	0,800	0,772	0,786
settore10-M1	I+II	0,602	0,636	0,618
settore10-M1	I	0,514	0,500	0,507
settore10-M1	II	0,590	0,667	0,626
settore03-C2	I+II	0,648	0,676	0,662
settore03-C2	I	0,720	0,692	0,706
settore03-C2	II	0,652	0,714	0,682
settore03-A2	I+II	0,678	0,711	0,694
settore03-A2	I	0,648	0,648	0,648
settore03-A2	II	0,645	0,689	0,667
settore03-A1	I+II	0,673	0,769	0,718
settore03-A1	I	0,667	0,714	0,690
settore03-A1	II	0,694	0,792	0,740
settore11-C5	I+II	0,751	0,887	0,813
settore11-C5	I	0,730	0,740	0,735
settore11-C5	II	0,743	0,854	0,795
settore11-C4	I+II	0,720	0,799	0,757
settore11-C4	I	0,818	0,750	0,783
settore11-C4	II	0,723	0,786	0,753
settore11-C3	I+II	0,725	0,763	0,743
settore11-C3	I	0,808	0,737	0,771
settore11-C3	II	0,681	0,766	0,721
settore11-C1	I+II	0,700	0,826	0,758
settore11-C1	I	0,719	0,676	0,697
settore11-C1	II	0,714	0,866	0,783
settore05-G1	I+II	0,857	0,894	0,875
settore05-G1	I	0,821	0,861	0,841
settore05-G1	II	0,851	0,889	0,869
settore09-H1	I+II	0,774	0,845	0,808
settore09-H1	I	0,780	0,780	0,780
settore09-H1	II	0,754	0,814	0,783
settore03-C1	I+II	0,753	0,825	0,787
settore03-C1	I	0,678	0,690	0,684
settore03-C1	II	0,664	0,676	0,670
settore11-B1	I+II	0,616	0,675	0,644
settore11-B1	I	0,613	0,576	0,594
settore11-B1	II	0,584	0,642	0,612
settore11-A3	I+II	0,731	0,845	0,784
settore11-A3	I	0,778	0,737	0,757
settore11-A3	II	0,710	0,825	0,763
settore13-B2	I+II	0,847	0,841	0,844
settore13-B2	I	0,794	0,862	0,827
settore13-B2	II	0,847	0,818	0,832
settore13-B3	I+II	0,784	0,838	0,810
settore13-B3	I	0,872	0,810	0,840
settore13-B3	II	0,828	0,875	0,851
settore13-A1	I+II	0,693	0,749	0,720
settore13-A1	I	0,748	0,701	0,724
settore13-A1	II	0,708	0,767	0,736
settore09-B3	I+II	0,800	0,813	0,806
settore09-B3	I	0,632	0,632	0,632
settore09-B3	II	0,792	0,844	0,817
settore12-F1	I+II	0,736	0,779	0,757
settore12-F1	I	0,667	0,667	0,667
settore12-F1	II	0,784	0,851	0,816
settore13-C1	I+II	0,688	0,713	0,700
settore13-C1	I	0,674	0,707	0,690
settore13-C1	II	0,608	0,672	0,638
settore10-N3	I+II	0,632	0,705	0,667
settore10-N3	I	0,667	0,667	0,667
settore10-N3	II	0,560	0,651	0,602
settore14-B2	I+II	0,524	0,551	0,538
settore14-B2	I	0,500	0,429	0,462
settore14-B2	II	0,525	0,561	0,542
settore09-D3	I+II	0,741	0,800	0,769
settore09-D3	I	0,591	0,650	0,619
settore09-D3	II	0,800	0,800	0,800
settore06-E2	I+II	0,741	0,826	0,781
settore06-E2	I	0,659	0,707	0,682
settore06-E2	II	0,736	0,824	0,777
settore09-C2	I+II	0,768	0,763	0,766
settore09-C2	I	0,648	0,648	0,648
settore09-C2	II	0,744	0,809	0,775
settore07-H5	I+II	0,483	0,538	0,509
settore07-H5	I	0,667	0,545	0,600
settore07-H5	II	0,368	0,467	0,412
settore11-C2	I+II	0,652	0,778	0,710
settore11-C2	I	0,731	0,717	0,724
settore11-C2	II	0,692	0,748	0,719
settore10-D4	I+II	0,627	0,766	0,689
settore10-D4	I	0,574	0,675	0,621
settore10-D4	II	0,684	0,788	0,732
settore08-C1	I+II	0,839	0,853	0,846
settore08-C1	I	0,785	0,747	0,765
settore08-C1	II	0,842	0,883	0,862
settore08-F1	I+II	0,718	0,786	0,751
settore08-F1	I	0,712	0,712	0,712
settore08-F1	II	0,695	0,800	0,744
settore08-D1	I+II	0,875	0,900	0,887
settore08-D1	I	0,873	0,873	0,873
settore08-D1	II	0,867	0,894	0,880
settore01-A4	I+II	0,737	0,770	0,753
settore01-A4	I	0,726	0,646	0,684
settore01-A4	II	0,692	0,786	0,736
settore14-C2	I+II	0,864	0,879	0,871
settore14-C2	I	0,778	0,792	0,785
settore14-C2	II	0,889	0,917	0,903
settore10-C1	I+II	0,789	0,825	0,807
settore10-C1	I	0,786	0,825	0,805
settore10-C1	II	0,794	0,882	0,835
settore01-A1	I+II	0,705	0,728	0,717
settore01-A1	I	0,696	0,696	0,696
settore01-A1	II	0,673	0,717	0,695
settore08-E1	I+II	0,771	0,828	0,799
settore08-E1	I	0,743	0,722	0,732
settore08-E1	II	0,755	0,786	0,770
settore02-A2	I+II	0,563	0,293	0,385
settore02-A2	I	0,500	0,391	0,439
settore02-A2	II	0,474	0,167	0,247
settore10-F1	I+II	0,809	0,878	0,842
settore10-F1	I	0,759	0,811	0,784
settore10-F1	II	0,811	0,892	0,850
settore07-A1	I+II	0,569	0,603	0,586
settore07-A1	I	0,528	0,576	0,551
settore07-A1	II	0,488	0,571	0,526
settore09-E4	I+II	0,827	0,851	0,839
settore09-E4	I	0,789	0,811	0,800
settore09-E4	II	0,797	0,859	0,827
settore03-B2	I+II	0,559	0,541	0,550
settore03-B2	I	0,429	0,462	0,444
settore03-B2	II	0,595	0,521	0,556
settore02-B3	I+II	0,813	0,889	0,849
settore02-B3	I	0,797	0,862	0,828
settore02-B3	II	0,809	0,885	0,845
settore09-D1	I+II	0,892	0,940	0,915
settore09-D1	I	0,938	0,919	0,928
settore09-D1	II	0,876	0,919	0,897
settore10-F3	I+II	0,663	0,677	0,670
settore10-F3	I	0,872	0,895	0,883
settore10-F3	II	0,545	0,621	0,581
settore12-G2	I+II	0,662	0,703	0,682
settore12-G2	I	0,682	0,789	0,732
settore12-G2	II	0,750	0,733	0,742
settore08-A3	I+II	0,835	0,869	0,851
settore08-A3	I	0,750	0,800	0,774
settore08-A3	II	0,785	0,805	0,795
settore04-A1	I+II	0,681	0,713	0,697
settore04-A1	I	0,714	0,727	0,721
settore04-A1	II	0,615	0,649	0,632
settore14-A2	I+II	0,763	0,789	0,776
settore14-A2	I	0,766	0,720	0,742
settore14-A2	II	0,747	0,763	0,755
settore09-E1	I+II	0,759	0,750	0,754
settore09-E1	I	0,600	0,621	0,610
settore09-E1	II	0,786	0,800	0,793
settore06-A4	I+II	0,649	0,724	0,685
settore06-A4	I	0,625	0,694	0,658
settore06-A4	II	0,672	0,804	0,732
settore08-B1	I+II	0,484	0,417	0,448
settore08-B1	I	0,571	0,571	0,571
settore08-B1	II	0,476	0,455	0,465
settore02-A1	I+II	0,503	0,337	0,403
settore02-A1	I	0,503	0,542	0,522
settore02-A1	II	0,405	0,123	0,189
settore09-D2	I+II	0,808	0,819	0,814
settore09-D2	I	0,640	0,762	0,696
settore09-D2	II	0,680	0,667	0,673
settore01-B1	I+II	0,778	0,830	0,803
settore01-B1	I	0,822	0,836	0,829
settore01-B1	II	0,753	0,795	0,773
settore01-A6	I+II	0,604	0,592	0,598
settore01-A6	I	0,714	0,682	0,698
settore01-A6	II	0,552	0,593	0,571
settore11-A2	I+II	0,718	0,799	0,756
settore11-A2	I	0,712	0,700	0,706
settore11-A2	II	0,744	0,826	0,783
settore13-B4	I+II	0,613	0,607	0,610
settore13-B4	I	0,564	0,550	0,557
settore13-B4	II	0,647	0,657	0,652
settore06-I1	I+II	0,714	0,738	0,726
settore06-I1	I	0,543	0,610	0,575
settore06-I1	II	0,752	0,787	0,769
settore05-H2	I+II	0,845	0,891	0,867
settore05-H2	I	0,780	0,813	0,796
settore05-H2	II	0,823	0,872	0,846
settore06-H1	I+II	0,770	0,829	0,798
settore06-H1	I	0,787	0,841	0,813
settore06-H1	II	0,725	0,795	0,758
settore06-F3	I+II	0,375	0,290	0,327
settore06-F3	I	0,400	0,333	0,364
settore06-F3	II	0,529	0,360	0,429
settore03-B1	I+II	0,679	0,686	0,682
settore03-B1	I	0,500	0,458	0,478
settore03-B1	II	0,696	0,790	0,740
settore12-A1	I+II	0,751	0,803	0,776
settore12-A1	I	0,753	0,802	0,777
settore12-A1	II	0,783	0,825	0,803
settore07-D1	I+II	0,670	0,728	0,698
settore07-D1	I	0,563	0,600	0,581
settore07-D1	II	0,652	0,753	0,699
settore06-F1	I+II	0,729	0,810	0,768
settore06-F1	I	0,754	0,839	0,794
settore06-F1	II	0,706	0,791	0,746
settore10-A1	I+II	0,670	0,681	0,676
settore10-A1	I	0,619	0,557	0,586
settore10-A1	II	0,665	0,697	0,681
settore07-F1	I+II	0,891	0,907	0,899
settore07-F1	I	0,857	0,889	0,873
settore07-F1	II	0,893	0,926	0,909
settore05-B1	I+II	0,797	0,854	0,824
