0	0
1	123
2	6
3	5
4	0
5	6
6	5
7	2
8	10
9	36
10	44
11	0
12	12
13	7
14	0
15	2
16	0
17	0
18	0
19	0
20	0
21	12
22	2
23	24
24	0
25	8
26	7
27	8
28	0
29	12
30	7
31	2
32	6
33	14
34	6
35	7
36	6
37	7
38	7
39	3
40	4
41	6
42	10
43	4
44	11
45	0
46	1
47	0
48	1
49	35
50	5
51	12
52	56
53	0
54	179
55	4
56	369
57	13
58	15
59	3
60	7
61	11
62	13
63	4
64	12
65	10
66	11
67	3
68	8
69	8
70	9
71	1
72	8
73	13
74	15
75	3
76	10
77	15
78	26
79	9
80	14
81	14
82	16
83	8
84	16
85	13
86	20
87	5
88	15
89	5
90	9
91	2
92	14
93	8
94	15
95	3
96	5
97	19
98	23
99	9
100	24
101	19
102	24
103	14
104	15
105	4
106	23
107	6
108	18
109	17
110	19
111	4
112	24
113	13
114	24
115	16
116	36
117	15
118	23
119	16
120	39
121	18
122	8
123	43
124	12
125	32
126	5
127	0
128	6
129	5
130	46
131	6
132	31
133	65
134	13
135	13
136	47
137	15
138	33
139	11
140	2
141	11
142	7
143	62
144	4
145	43
146	71
147	19
148	17
149	77
150	20
151	56
152	9
153	5
154	8
155	9
156	158
157	6
158	88
159	123
160	34
161	47
162	101
163	13
164	61
165	17
166	8
167	16
168	21
169	213
170	16
171	157
172	149
173	38
174	27
175	102
176	9
177	64
178	17
179	8
180	6
181	11
182	181
183	7
184	151
185	139
186	36
187	26
188	87
189	9
190	42
191	25
192	5
193	15
194	5
195	83
196	9
197	90
198	27
199	12
200	49
201	6
202	26
203	7
204	1
205	3
206	6
207	47
208	4
209	58
210	97
211	107
212	107
213	47
214	33
215	139
216	61
217	154
218	48
219	13
220	24
221	3
222	11
223	16
224	18
225	12
226	18
227	8
228	25
229	3
230	7
231	7
232	9
233	2
234	9
235	10
236	16
237	6
238	6
239	8
240	33
241	3
242	5
243	8
244	14
245	5
246	4
247	14
248	30
249	3
250	7
251	2
252	13
253	1
254	3
255	1
256	16
257	0
258	3
259	14
260	52
261	6
262	15
263	14
264	26
265	3
266	7
267	8
268	19
269	7
270	11
271	8
272	24
273	3
274	13
275	6
276	12
277	4
278	5
279	5
280	4
281	5
282	7
283	3
284	3
285	12
286	4
287	9
288	7
289	4
290	5
291	11
292	9
293	11
294	8
295	13
296	6
297	6
298	12
299	7
300	10
301	10
302	14
303	8
304	14
305	15
306	13
307	4
308	0
309	7
310	0
311	3
312	1
313	0
314	0
315	4
316	0
317	0
318	0
319	0
320	1
321	1
322	1
323	0
324	0
325	0
326	0
327	2
328	0
329	1
330	0
331	1
332	0
333	0
334	0
335	3
336	2
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
