Area,Precision,Recall,F-Measure
Area,Precision,Recall,F-Measure
11/E,0.872,0.852,0.862
14,0.799,0.824,0.811
08-NB,0.799,0.801,0.800
09,0.801,0.792,0.797
11,0.784,0.788,0.786
08,0.773,0.792,0.782
06,0.745,0.817,0.779
01,0.752,0.778,0.765
04,0.738,0.794,0.765
12,0.742,0.770,0.755
10,0.763,0.729,0.745
05,0.692,0.772,0.730
13,0.661,0.707,0.683
03,0.652,0.675,0.663
02,0.593,0.714,0.648
07,0.639,0.606,0.622
