Recruitment Field,Precision,Recall,F-Measure
Recruitment Field,Precision,Recall,F-Measure
09/D1,0.938,0.919,0.928
11/D2,0.866,0.922,0.893
11/E4,0.896,0.878,0.887
11/D1,0.883,0.883,0.883
10/F3,0.872,0.895,0.883
06/F2,0.929,0.839,0.881
06/L1,0.857,0.906,0.881
08/D1,0.886,0.873,0.879
05/I1,0.870,0.884,0.877
09/E3,0.895,0.861,0.877
12/B2,0.944,0.810,0.872
07/F1,0.885,0.852,0.868
06/N1,0.870,0.861,0.865
08/A2,0.833,0.889,0.860
12/D2,0.818,0.900,0.857
11/E3,0.843,0.843,0.843
05/G1,0.821,0.861,0.841
13/B2,0.812,0.872,0.841
13/B3,0.872,0.810,0.840
01/B1,0.828,0.850,0.838
02/C1,0.829,0.846,0.837
04/A4,0.798,0.870,0.833
14/C1,0.838,0.824,0.831
06/D1,0.813,0.848,0.830
05/B1,0.827,0.827,0.827
11/A4,0.833,0.820,0.826
07/H4,0.778,0.875,0.824
06/A3,0.841,0.806,0.823
11/E2,0.881,0.771,0.822
06/M2,0.815,0.828,0.822
06/B1,0.783,0.857,0.818
07/H1,0.846,0.786,0.815
02/B3,0.795,0.833,0.814
06/M1,0.796,0.826,0.810
08/A4,0.778,0.840,0.808
05/B2,0.774,0.842,0.807
09/G2,0.804,0.804,0.804
12/E2,0.814,0.792,0.803
14/D1,0.769,0.833,0.800
03/D2,0.800,0.800,0.800
05/H2,0.780,0.813,0.796
10/F1,0.771,0.818,0.794
09/F2,0.781,0.806,0.794
06/F4,0.762,0.825,0.792
08/A3,0.783,0.800,0.791
06/H1,0.766,0.818,0.791
10/C1,0.759,0.825,0.790
09/H1,0.780,0.799,0.789
09/C1,0.833,0.750,0.789
06/F1,0.743,0.839,0.788
10/D1,0.774,0.800,0.787
14/C2,0.778,0.792,0.785
10/B1,0.778,0.790,0.784
06/E1,0.747,0.824,0.783
13/A4,0.771,0.794,0.783
13/D1,0.805,0.759,0.781
09/G1,0.875,0.700,0.778
04/A3,0.761,0.795,0.778
11/E1,0.781,0.770,0.776
10/F2,0.809,0.745,0.776
09/E4,0.763,0.784,0.773
10/N1,0.754,0.793,0.773
14/A2,0.804,0.740,0.771
11/C4,0.814,0.729,0.769
08/E2,0.778,0.761,0.769
08/E1,0.813,0.722,0.765
08/B3,0.750,0.771,0.761
06/G1,0.740,0.781,0.760
03/D1,0.746,0.770,0.758
08/A1,0.756,0.756,0.756
06/A2,0.724,0.778,0.750
12/D1,0.814,0.695,0.750
12/A1,0.734,0.758,0.746
09/A2,0.727,0.762,0.744
10/L1,0.735,0.750,0.742
11/C3,0.784,0.702,0.741
09/F1,0.714,0.769,0.741
08/C1,0.766,0.711,0.737
06/D3,0.719,0.753,0.736
05/E2,0.686,0.791,0.735
12/H2,0.733,0.733,0.733
12/G2,0.682,0.789,0.732
05/E1,0.722,0.743,0.732
11/C5,0.736,0.726,0.731
11/C2,0.722,0.736,0.729
07/H2,0.727,0.727,0.727
03/A1,0.700,0.750,0.724
13/D2,0.735,0.694,0.714
08/B2,0.718,0.700,0.709
11/A5,0.697,0.719,0.708
13/B1,0.691,0.723,0.707
06/E3,0.750,0.667,0.706
13/A1,0.726,0.684,0.704
04/A1,0.696,0.709,0.703
01/A6,0.778,0.636,0.700
14/A1,0.724,0.677,0.700
10/D3,0.700,0.700,0.700
12/C1,0.704,0.691,0.697
01/A5,0.727,0.667,0.696
01/A1,0.696,0.696,0.696
12/C2,0.667,0.727,0.696
05/D1,0.654,0.737,0.693
01/A4,0.730,0.659,0.692
11/A3,0.708,0.671,0.689
11/A2,0.695,0.683,0.689
11/A1,0.677,0.700,0.689
06/D6,0.646,0.724,0.683
06/E2,0.683,0.683,0.683
13/D4,0.672,0.694,0.683
05/A1,0.681,0.681,0.681
11/C1,0.710,0.647,0.677
13/C1,0.692,0.659,0.675
03/C2,0.680,0.654,0.667
06/A4,0.619,0.722,0.667
10/G1,0.661,0.672,0.667
06/D5,0.640,0.696,0.667
07/E1,0.659,0.675,0.667
12/G1,0.684,0.650,0.667
07/B1,0.667,0.667,0.667
09/B2,0.556,0.833,0.667
03/A2,0.648,0.670,0.659
13/A3,0.625,0.694,0.658
03/C1,0.655,0.655,0.655
08/F1,0.667,0.644,0.655
13/D3,0.643,0.667,0.655
05/C1,0.567,0.773,0.654
12/B1,0.607,0.708,0.654
12/F1,0.684,0.619,0.650
10/N3,0.688,0.611,0.647
09/A3,0.647,0.647,0.647
05/H1,0.638,0.652,0.645
12/E1,0.650,0.634,0.642
07/B2,0.615,0.667,0.640
09/D3,0.583,0.700,0.636
07/H5,0.636,0.636,0.636
09/D2,0.609,0.667,0.636
04/A2,0.630,0.642,0.636
09/B3,0.632,0.632,0.632
09/C2,0.630,0.630,0.630
12/E3,0.676,0.590,0.630
01/A3,0.658,0.602,0.629
13/A5,0.611,0.647,0.629
06/D2,0.574,0.692,0.628
06/C1,0.594,0.655,0.623
10/D4,0.563,0.675,0.614
06/I1,0.574,0.659,0.614
01/A2,0.585,0.640,0.611
07/C1,0.650,0.565,0.605
13/A2,0.611,0.598,0.604
11/B1,0.633,0.576,0.603
05/A2,0.545,0.667,0.600
09/B1,0.600,0.600,0.600
10/A1,0.625,0.571,0.597
10/M2,0.607,0.586,0.596
13/B4,0.585,0.600,0.593
13/B5,0.615,0.571,0.593
12/H3,0.625,0.556,0.588
09/E1,0.586,0.586,0.586
10/D2,0.600,0.571,0.585
09/A1,0.636,0.538,0.583
07/D1,0.563,0.600,0.581
02/B2,0.591,0.565,0.578
07/G1,0.565,0.591,0.578
06/D4,0.542,0.605,0.571
07/A1,0.543,0.576,0.559
02/B1,0.541,0.571,0.556
07/F2,0.545,0.545,0.545
09/E2,0.526,0.556,0.541
06/A1,0.536,0.536,0.536
14/B1,0.556,0.500,0.526
10/I1,0.588,0.476,0.526
14/B2,0.556,0.476,0.513
10/M1,0.514,0.500,0.507
08/B1,0.500,0.500,0.500
10/E1,0.524,0.478,0.500
12/H1,0.538,0.467,0.500
10/H1,0.500,0.462,0.480
03/B2,0.462,0.462,0.462
03/B1,0.500,0.417,0.455
02/A2,0.509,0.406,0.452
02/A1,0.405,0.458,0.430
07/H3,0.417,0.417,0.417
06/F3,0.400,0.333,0.364
05/F1,0.304,0.212,0.250
