Recruitment Field,Precision,Recall,F-Measure
Recruitment Field,Precision,Recall,F-Measure
07/F1,0.928,0.951,0.939
05/I1,0.851,1.000,0.919
14/C1,0.852,0.994,0.918
09/D1,0.878,0.959,0.917
11/D2,0.959,0.863,0.909
11/E4,0.833,0.992,0.906
11/D1,0.813,1.000,0.897
14/C2,0.814,0.996,0.895
12/D2,0.810,1.000,0.895
06/F2,0.842,0.955,0.895
05/H2,0.807,1.000,0.893
09/E4,0.891,0.891,0.891
13/B3,0.862,0.920,0.890
08/D1,0.806,0.989,0.888
11/E2,0.888,0.882,0.885
08/A2,0.838,0.925,0.879
05/G1,0.868,0.889,0.878
06/N1,0.781,1.000,0.877
09/F1,0.877,0.864,0.870
12/D1,0.876,0.856,0.866
12/C1,0.899,0.833,0.865
06/L1,0.776,0.976,0.865
06/M2,0.784,0.956,0.862
11/A4,0.797,0.939,0.862
02/B3,0.789,0.950,0.862
10/F1,0.759,0.994,0.861
06/A3,0.762,0.986,0.860
04/A4,0.759,0.989,0.859
10/C1,0.814,0.907,0.858
06/A2,0.767,0.973,0.857
08/E2,0.746,1.000,0.855
09/C1,0.819,0.894,0.855
09/G2,0.823,0.886,0.853
10/B1,0.742,1.000,0.852
08/C1,0.887,0.812,0.848
06/D1,0.811,0.888,0.848
06/M1,0.822,0.861,0.841
13/D3,0.817,0.866,0.841
12/A1,0.729,0.991,0.840
12/F1,0.723,1.000,0.839
06/E1,0.788,0.893,0.837
06/E2,0.763,0.926,0.837
09/E3,0.796,0.872,0.832
14/D1,0.886,0.780,0.830
05/B1,0.761,0.914,0.830
06/F4,0.806,0.853,0.829
06/B1,0.761,0.903,0.826
10/G1,0.770,0.890,0.826
05/B2,0.757,0.908,0.826
08/B3,0.917,0.746,0.822
07/G1,0.802,0.841,0.821
10/D1,0.814,0.828,0.821
14/B1,0.789,0.851,0.819
11/A5,0.785,0.848,0.816
09/E2,0.750,0.892,0.815
04/A3,0.762,0.871,0.813
11/C1,0.697,0.976,0.813
05/A1,0.794,0.831,0.813
13/A1,0.743,0.893,0.811
12/G1,0.775,0.849,0.810
08/A3,0.788,0.818,0.803
07/B1,0.763,0.845,0.802
06/D2,0.772,0.833,0.802
09/B3,0.850,0.756,0.800
12/E3,0.725,0.892,0.800
08/E1,0.833,0.765,0.798
05/E1,0.725,0.888,0.798
13/A4,0.686,0.954,0.798
10/F2,0.734,0.873,0.797
11/C5,0.736,0.866,0.796
09/H1,0.741,0.857,0.795
03/C2,0.805,0.786,0.795
13/B2,0.894,0.716,0.795
08/A4,0.742,0.852,0.793
03/D1,0.767,0.818,0.792
06/C1,0.767,0.816,0.791
05/A2,0.757,0.824,0.789
10/D3,0.793,0.783,0.788
12/B1,0.868,0.719,0.786
05/D1,0.790,0.778,0.784
01/A4,0.709,0.871,0.782
11/E3,0.872,0.707,0.781
11/C3,0.663,0.952,0.781
10/L1,0.670,0.937,0.781
02/C1,0.752,0.813,0.781
08/A1,0.766,0.797,0.781
06/H1,0.741,0.822,0.779
09/E1,0.759,0.800,0.779
03/C1,0.778,0.778,0.778
06/I1,0.816,0.741,0.777
12/E1,0.802,0.754,0.777
12/C2,0.826,0.731,0.776
13/D4,0.747,0.808,0.776
06/G1,0.794,0.759,0.776
11/A1,0.730,0.821,0.773
14/A1,0.673,0.907,0.773
06/D3,0.755,0.790,0.772
06/A4,0.724,0.824,0.771
11/A2,0.739,0.806,0.771
10/M2,0.712,0.841,0.771
14/A2,0.752,0.784,0.768
09/D3,0.767,0.767,0.767
06/D5,0.676,0.885,0.767
09/B1,0.684,0.867,0.765
09/C2,0.765,0.765,0.765
09/F2,0.868,0.680,0.763
05/H1,0.674,0.875,0.762
03/B1,0.756,0.765,0.761
05/C1,0.725,0.798,0.760
11/A3,0.716,0.810,0.760
08/B2,0.878,0.667,0.758
11/C4,0.688,0.841,0.757
05/E2,0.675,0.861,0.757
13/D2,0.722,0.792,0.755
07/D1,0.718,0.792,0.753
02/B2,0.730,0.773,0.751
12/B2,0.712,0.792,0.750
10/D4,0.662,0.847,0.743
07/C1,0.724,0.764,0.743
01/A6,0.657,0.852,0.742
01/B1,0.748,0.733,0.740
06/D6,0.733,0.747,0.740
03/A2,0.663,0.832,0.738
12/H3,0.764,0.714,0.738
09/B2,0.778,0.700,0.737
08/F1,0.672,0.806,0.733
12/E2,0.717,0.750,0.733
04/A2,0.701,0.761,0.730
11/C2,0.626,0.870,0.728
10/A1,0.673,0.785,0.725
09/D2,0.646,0.824,0.724
13/B5,0.739,0.708,0.723
10/N1,0.648,0.814,0.722
06/A1,0.697,0.742,0.719
09/G1,0.793,0.657,0.719
03/A1,0.639,0.802,0.711
13/B1,0.788,0.641,0.707
07/E1,0.615,0.812,0.700
10/I1,0.673,0.712,0.692
11/B1,0.607,0.802,0.691
01/A2,0.664,0.717,0.689
07/B2,0.688,0.688,0.688
13/D1,0.741,0.642,0.688
10/M1,0.614,0.783,0.688
12/G2,0.794,0.600,0.684
13/A3,0.712,0.653,0.681
06/E3,0.648,0.714,0.680
10/E1,0.611,0.764,0.679
13/B4,0.628,0.731,0.676
01/A5,0.773,0.596,0.673
04/A1,0.631,0.716,0.671
06/D4,0.727,0.621,0.670
06/F1,0.660,0.681,0.670
01/A1,0.561,0.804,0.661
11/E1,0.621,0.698,0.657
01/A3,0.715,0.599,0.652
03/D2,0.750,0.563,0.643
09/A2,0.643,0.643,0.643
10/H1,0.574,0.722,0.639
13/C1,0.620,0.657,0.638
12/H2,0.800,0.522,0.632
09/A3,0.632,0.632,0.632
09/A1,0.584,0.686,0.631
10/N3,0.517,0.721,0.602
07/F2,0.688,0.524,0.595
07/H4,0.600,0.563,0.581
07/H1,0.625,0.536,0.577
07/H2,0.615,0.533,0.571
07/A1,0.643,0.514,0.571
13/A5,0.613,0.528,0.567
02/B1,0.685,0.466,0.555
13/A2,0.716,0.364,0.482
03/B2,0.789,0.313,0.448
12/H1,0.636,0.318,0.424
14/B2,0.457,0.368,0.408
10/D2,0.448,0.203,0.280
08/B1,0.600,0.136,0.222
10/F3,0.400,0.138,0.205
07/H5,0.250,0.067,0.105
05/F1,1.000,0.011,0.023
07/H3,0.000,0.000,0.000
02/A2,0.000,0.000,0.000
02/A1,0.000,0.000,0.000
06/F3,0.000,0.000,0.000
