Area,Precision,Recall,F-Measure
Area,Precision,Recall,F-Measure
08-NB,0.804,0.883,0.842
14,0.793,0.888,0.838
09,0.788,0.858,0.822
11/E,0.767,0.872,0.816
12,0.780,0.834,0.806
11,0.735,0.890,0.805
06,0.746,0.851,0.795
10,0.708,0.862,0.778
05,0.710,0.838,0.769
08,0.757,0.780,0.768
04,0.708,0.834,0.766
01,0.696,0.762,0.727
13,0.685,0.734,0.709
03,0.708,0.697,0.702
07,0.683,0.723,0.702
02,0.624,0.657,0.640
