settore12-D1	I+II	1,2,3,5	0.819	0.840	0.829
settore06-M2	I+II	1,2,3,5	0.815	0.843	0.829
settore13-B2	II	1,2,3,5	0.837	0.818	0.828
settore05-B1	I	1,2,3,5	0.827	0.827	0.827
settore11-A4	I	1,2,3,5	0.833	0.820	0.826
settore07-H4	I	1,2,3,5	0.778	0.875	0.824
settore04-A4	I+II	1,2,3,5	0.780	0.872	0.823
settore06-A3	I	1,2,3,5	0.841	0.806	0.823
settore06-M1	I+II	1,2,3,5	0.792	0.853	0.822
settore11-E2	I	1,2,3,5	0.881	0.771	0.822
settore06-D1	I+II	1,2,3,5	0.803	0.843	0.822
settore06-M2	I	1,2,3,5	0.815	0.828	0.822
settore09-F2	II	1,2,3,5	0.810	0.835	0.822
settore06-F4	II	1,2,3,5	0.784	0.859	0.820
settore11-E3	II	1,2,3,5	0.819	0.819	0.819
settore06-A2	I+II	1,2,3,5	0.777	0.864	0.818
settore06-A3	II	1,2,3,5	0.821	0.815	0.818
settore10-C1	I+II	1,2,3,5	0.793	0.844	0.818
settore06-B1	I	1,2,3,5	0.783	0.857	0.818
settore13-D3	II	1,2,3,5	0.773	0.866	0.817
settore05-B1	I+II	1,2,3,5	0.790	0.844	0.816
settore08-E2	II	1,2,3,5	0.770	0.867	0.816
settore09-E4	II	1,2,3,5	0.803	0.828	0.815
settore08-A3	II	1,2,3,5	0.800	0.831	0.815
settore07-H1	I	1,2,3,5	0.846	0.786	0.815
settore02-B3	I	1,2,3,5	0.795	0.833	0.814
settore09-F1	I+II	1,2,3,5	0.798	0.829	0.813
settore08-B3	I+II	1,2,3,5	0.824	0.798	0.811
settore06-M1	I	1,2,3,5	0.796	0.826	0.810
settore09-B3	II	1,2,3,5	0.776	0.844	0.809
settore12-A1	II	1,2,3,5	0.785	0.833	0.809
settore11-C5	I+II	1,2,3,5	0.746	0.881	0.808
settore08-A4	I	1,2,3,5	0.778	0.840	0.808
settore05-B2	I	1,2,3,5	0.774	0.842	0.807
settore10-F2	I+II	1,2,3,5	0.764	0.855	0.807
settore09-F2	I+II	1,2,3,5	0.814	0.799	0.806
settore09-G2	I	1,2,3,5	0.804	0.804	0.804
settore09-G2	II	1,2,3,5	0.772	0.838	0.804
settore13-B3	I+II	1,2,3,5	0.777	0.831	0.803
settore12-E2	I	1,2,3,5	0.814	0.792	0.803
settore11-C5	II	1,2,3,5	0.734	0.882	0.801
settore12-C1	II	1,2,3,5	0.796	0.807	0.801
settore14-D1	I	1,2,3,5	0.769	0.833	0.800
settore06-A3	I+II	1,2,3,5	0.784	0.817	0.800
settore01-B1	I+II	1,2,3,5	0.773	0.829	0.800
settore03-D2	I	1,2,3,5	0.800	0.800	0.800
settore03-D1	II	1,2,3,5	0.801	0.796	0.799
settore04-A3	I+II	1,2,3,5	0.768	0.830	0.798
settore08-B2	I+II	1,2,3,5	0.820	0.777	0.798
settore09-H1	I+II	1,2,3,5	0.769	0.828	0.797
settore06-E2	I+II	1,2,3,5	0.754	0.846	0.797
settore05-B2	II	1,2,3,5	0.790	0.801	0.796
settore05-H2	I	1,2,3,5	0.780	0.813	0.796
settore06-F1	I+II	1,2,3,5	0.754	0.843	0.796
settore06-E1	II	1,2,3,5	0.759	0.835	0.795
settore10-F1	I	1,2,3,5	0.771	0.818	0.794
settore09-F2	I	1,2,3,5	0.781	0.806	0.794
settore09-D3	II	1,2,3,5	0.821	0.767	0.793
settore08-E1	I+II	1,2,3,5	0.773	0.813	0.793
settore08-B3	II	1,2,3,5	0.807	0.780	0.793
settore06-F4	I	1,2,3,5	0.762	0.825	0.792
